# coverage of finite groups of order <= 60
# enumeration: GAP SmallGroups library (CITED, external)
# fixpoint rounds for R1: 2
# UNRESOLVED means: not covered by C1-C5/R1. NOT a height >= 2 claim.
order	id	structure	verdict	monolithic	phase	abelian_normal
32	23	C2 x (C4 : C4)	C2-nilpotent2	false	4	C4 x C2
32	24	(C4 x C4) : C2	C2-nilpotent2	false	2	C4 x C4
32	25	C4 x D8	C2-nilpotent2	false	2	C4 x C2 x C2
32	26	C4 x Q8	C2-nilpotent2	false	0	-
32	27	(C2 x C2 x C2 x C2) : C2	C2-nilpotent2	false	2	C2 x C2 x C2 x C2
32	28	(C4 x C2 x C2) : C2	C2-nilpotent2	false	2	C4 x C2 x C2
32	29	(C2 x Q8) : C2	C2-nilpotent2	false	0	-
32	30	(C4 x C2 x C2) : C2	C2-nilpotent2	false	2	C4 x C2 x C2
32	31	(C4 x C4) : C2	C2-nilpotent2	false	2	C4 x C4
32	32	(C2 x C2) . (C2 x C2 x C2)	C2-nilpotent2	false	0	-
32	33	(C4 x C4) : C2	C2-nilpotent2	false	2	C4 x C4
32	34	(C4 x C4) : C2	C2-nilpotent2	false	2	C4 x C4
32	35	C4 : Q8	C2-nilpotent2	false	0	-
32	36	C8 x C2 x C2	C1-abelian	false	2	C8 x C2
32	37	C2 x (C8 : C2)	C2-nilpotent2	false	2	C8 x C2
32	38	(C8 x C2) : C2	C2-nilpotent2	true	2	C8 x C2
32	39	C2 x D16	C3-AsemiE	false	2	C8 x C2
32	40	C2 x QD16	C3-AsemiE	false	2	C8 x C2
32	41	C2 x Q16	R1-subdirect	false	0	-
32	42	(C8 x C2) : C2	C3-AsemiE	true	2	C8 x C2
32	43	C8 : (C2 x C2)	C3-AsemiE	true	0	-
32	44	(C2 x Q8) : C2	UNRESOLVED	true	0	-
32	45	C4 x C2 x C2 x C2	C1-abelian	false	2	C4 x C2 x C2
32	46	C2 x C2 x D8	C2-nilpotent2	false	2	C2 x C2 x C2 x C2
32	47	C2 x C2 x Q8	C2-nilpotent2	false	0	-
32	48	C2 x ((C4 x C2) : C2)	C2-nilpotent2	false	2	C4 x C2 x C2
